"rank","zipcode","crime_level","crime_count","subway_stations","score"
1,"11101","High",1295,13,82.3
2,"11207","High",1771,13,75.8
3,"11215","Medium",228,7,73.8
4,"11201","High",1984,12,69.1
5,"11206","High",1141,9,69
6,"10007","Medium",628,7,68.4
7,"11225","High",919,8,68.2
8,"11219","Medium",690,7,67.5
9,"10011","High",1022,8,66.8
10,"11238","Medium",772,7,66.4
11,"11217","High",1169,8,64.8
12,"11204","Medium",329,5,64.7
13,"11417","Medium",637,6,64.4
14,"11377","Medium",412,5,63.6
15,"10038","Medium",189,4,62.8
16,"10306","Medium",513,5,62.2
17,"10462","Medium",521,5,62.1
18,"11223","High",873,6,61.2
19,"10005","Low",34,3,61.1
20,"10003","High",1161,7,61.1
21,"10012","Medium",614,5,60.9
22,"10006","Low",66,3,60.6
23,"10312","Low",101,3,60.2
24,"10021","Low",101,3,60.2
25,"10004","Low",105,3,60.1
26,"11694","Low",116,3,60
27,"11230","High",955,6,60
28,"10309","Low",156,3,59.4
29,"11421","Low",167,3,59.3
30,"10022","Medium",443,4,59.3
31,"11211","High",1081,6,58.3
32,"11218","Medium",235,3,58.3
33,"10026","Medium",535,4,58.1
34,"11214","High",1142,6,57.5
35,"10025","High",885,5,57.2
36,"10032","High",888,5,57.1
37,"10040","Medium",370,3,56.5
38,"11104","Low",96,2,56.4
39,"10028","Low",125,2,56
40,"11209","Medium",448,3,55.4
41,"10014","Medium",740,4,55.3
42,"11235","Medium",470,3,55.1
43,"11692","Medium",190,2,55.1
44,"10472","Medium",762,4,55
45,"11418","Medium",767,4,54.9
46,"11229","Medium",500,3,54.7
47,"10307","Medium",221,2,54.7
48,"11106","Medium",240,2,54.4
49,"10017","Medium",248,2,54.3
50,"10031","Medium",822,4,54.2
51,"10023","Medium",259,2,54.2
52,"10469","Medium",539,3,54.2
53,"10305","Medium",262,2,54.1
54,"10034","Medium",545,3,54.1
55,"10001","High",1681,7,54
56,"10279","Low",0,1,53.8
57,"10467","High",1695,7,53.8
58,"10128","Medium",293,2,53.7
59,"10044","Low",32,1,53.4
60,"11419","Medium",315,2,53.4
61,"11375","High",885,4,53.3
62,"10308","Low",47,1,53.2
63,"10471","Low",62,1,53
64,"10039","Medium",355,2,52.8
65,"10170","Low",77,1,52.8
66,"11693","Medium",357,2,52.8
67,"11414","Low",94,1,52.6
68,"11385","High",946,4,52.5
69,"11379","Low",101,1,52.5
70,"11103","Medium",402,2,52.2
71,"10016","Medium",408,2,52.1
72,"10002","High",1262,5,52
73,"11222","Medium",415,2,52
74,"10461","High",989,4,51.9
75,"11228","Low",144,1,51.9
76,"10024","Medium",447,2,51.6
77,"11374","Low",166,1,51.6
78,"11105","Low",173,1,51.5
79,"10019","High",1863,7,51.5
80,"10470","Medium",192,1,51.2
81,"10463","Medium",824,3,50.3
82,"11372","Medium",822,3,50.3
83,"11559","Low",1,0,50
84,"10169","Low",1,0,50
85,"11424","Low",2,0,50
86,"10165","Low",2,0,50
87,"11096","Low",1,0,50
88,"11580","Low",1,0,50
89,"10550","Low",1,0,50
90,"10171","Low",1,0,50
91,"10111","Low",2,0,50
92,"10168","Low",1,0,50
93,"10112","Low",10,0,49.9
94,"11697","Low",5,0,49.9
95,"11040","Low",6,0,49.9
96,"10174","Low",8,0,49.9
97,"10280","Low",8,0,49.9
98,"10704","Low",9,0,49.9
99,"11001","Low",4,0,49.9
100,"11363","Low",10,0,49.9
101,"10065","Medium",577,2,49.8
102,"11205","Medium",580,2,49.8
103,"11109","Low",15,0,49.8
104,"11451","Low",18,0,49.8
105,"10199","Low",20,0,49.7
106,"10282","Low",23,0,49.7
107,"10464","Low",29,0,49.6
108,"10110","Low",26,0,49.6
109,"10069","Low",27,0,49.6
110,"11239","Low",38,0,49.5
111,"11430","Low",33,0,49.5
112,"11360","Low",34,0,49.5
113,"11004","Low",46,0,49.4
114,"11426","Low",42,0,49.4
115,"10167","Low",41,0,49.4
116,"10075","Low",53,0,49.3
117,"10103","Low",48,0,49.3
118,"10119","Low",49,0,49.3
119,"10304","High",894,3,49.3
120,"11366","Low",56,0,49.2
121,"11362","Low",60,0,49.2
122,"11364","Low",66,0,49.1
123,"10036","High",1482,5,49
124,"11427","Low",80,0,48.9
125,"10460","High",928,3,48.9
126,"11358","Low",94,0,48.7
127,"11237","High",1508,5,48.7
128,"10033","High",1221,4,48.7
129,"11411","Low",106,0,48.6
130,"11368","High",948,3,48.6
131,"11371","Low",109,0,48.5
132,"11416","Low",116,0,48.4
133,"11102","Medium",684,2,48.4
134,"10009","Medium",404,1,48.3
135,"11691","High",1256,4,48.2
136,"11370","Low",137,0,48.1
137,"10010","High",994,3,48
138,"11436","Low",154,0,47.9
139,"11429","Low",156,0,47.9
140,"11367","Low",153,0,47.9
141,"11378","Low",183,0,47.5
142,"11357","Medium",188,0,47.4
143,"11356","Medium",192,0,47.4
144,"11423","Medium",199,0,47.3
145,"10020","Medium",195,0,47.3
146,"10459","High",1604,5,47.3
147,"10037","Medium",233,0,46.8
148,"10303","Medium",231,0,46.8
149,"10475","Medium",232,0,46.8
150,"10302","Medium",244,0,46.7
151,"11220","High",1661,5,46.6
152,"11233","High",1380,4,46.6
153,"11355","Medium",257,0,46.5
154,"10454","High",1400,4,46.3
155,"10310","Medium",271,0,46.3
156,"11221","High",1403,4,46.2
157,"11412","Medium",277,0,46.2
158,"11420","Medium",290,0,46
159,"10030","High",865,2,45.9
160,"11361","Medium",307,0,45.8
161,"11433","Medium",605,1,45.6
162,"10453","High",1184,3,45.4
163,"11415","Medium",639,1,45.1
164,"11413","Medium",384,0,44.8
165,"11226","High",2113,6,44.2
166,"11232","High",993,2,44.1
167,"10027","High",1595,4,43.6
168,"10452","High",2188,6,43.2
169,"11210","High",1076,2,43
170,"10468","High",1360,3,43
171,"10013","High",2509,7,42.7
172,"11236","High",1104,2,42.6
173,"11231","High",831,1,42.5
174,"11428","Medium",565,0,42.3
175,"11365","Medium",571,0,42.2
176,"11234","Medium",581,0,42.1
177,"11373","High",2019,5,41.7
178,"11216","High",1209,2,41.2
179,"11212","High",2626,7,41.1
180,"10466","High",1811,4,40.7
181,"11435","High",1287,2,40.1
182,"10455","High",2159,5,39.8
183,"10474","Medium",752,0,39.7
184,"11422","Medium",783,0,39.3
185,"10314","Medium",800,0,39.1
186,"11213","High",1379,2,38.9
187,"11208","High",2794,7,38.8
188,"10465","High",848,0,38.4
189,"11203","High",906,0,37.6
190,"10029","High",1487,2,37.4
191,"10035","High",1532,2,36.8
192,"10458","High",1891,3,35.7
193,"10456","High",1360,1,35.3
194,"11354","High",1369,1,35.2
195,"11369","High",1114,0,34.8
196,"11224","High",2028,3,33.9
197,"10301","High",1767,2,33.6
198,"10473","High",1243,0,33
199,"11432","High",2205,3,31.4
200,"10451","High",2316,3,29.9
201,"10018","High",2199,2,27.7
202,"11434","High",1775,0,25.8
203,"10457","High",3664,3,11.5
