"Station.ID","GTFS.Latitude","GTFS.Longitude","Georeference","Complex.ID","Borough"
317,40.75529,-73.987495,"POINT (-73.987495 40.75529)",611,"M"
515,40.54046,-74.178217,"POINT (-74.178217 40.54046)",515,"SI"
139,40.680596,-73.955827,"POINT (-73.955827 40.680596)",627,"Bk"
349,40.663515,-73.902447,"POINT (-73.902447 40.663515)",349,"Bk"
108,40.711396,-73.889601,"POINT (-73.889601 40.711396)",108,"Q"
471,40.755882,-74.00191,"POINT (-74.00191 40.755882)",471,"M"
457,40.744149,-73.912549,"POINT (-73.912549 40.744149)",457,"Q"
373,40.812118,-73.904098,"POINT (-73.904098 40.812118)",373,"Bx"
97,40.697207,-73.935657,"POINT (-73.935657 40.697207)",97,"Bk"
234,40.713715,-73.990173,"POINT (-73.990173 40.713715)",234,"M"
248,40.61514,-73.974197,"POINT (-73.974197 40.61514)",248,"Bk"
336,40.690545,-73.985065,"POINT (-73.985065 40.690545)",336,"Bk"
110,40.704423,-73.903077,"POINT (-73.903077 40.704423)",110,"Q"
502,40.636949,-74.074835,"POINT (-74.074835 40.636949)",502,"SI"
37,40.629742,-74.02551,"POINT (-74.02551 40.629742)",37,"Bk"
170,40.714111,-74.008585,"POINT (-74.008585 40.714111)",624,"M"
363,40.839892,-73.842952,"POINT (-73.842952 40.839892)",363,"Bx"
217,40.839306,-73.9134,"POINT (-73.9134 40.839306)",217,"Bx"
400,40.762526,-73.967967,"POINT (-73.967967 40.762526)",613,"M"
432,40.819585,-73.90177,"POINT (-73.90177 40.819585)",432,"Bx"
253,40.581011,-73.974574,"POINT (-73.974574 40.581011)",253,"Bk"
78,40.597473,-73.979137,"POINT (-73.979137 40.597473)",78,"Bk"
368,40.829521,-73.874516,"POINT (-73.874516 40.829521)",368,"Bx"
247,40.620769,-73.975264,"POINT (-73.975264 40.620769)",247,"Bk"
8,40.764811,-73.973347,"POINT (-73.973347 40.764811)",8,"M"
69,40.597704,-73.986829,"POINT (-73.986829 40.597704)",69,"Bk"
393,40.798629,-73.941617,"POINT (-73.941617 40.798629)",393,"M"
202,40.583209,-73.827559,"POINT (-73.827559 40.583209)",202,"Q"
258,40.709179,-73.820574,"POINT (-73.820574 40.709179)",258,"Q"
14,40.741303,-73.989344,"POINT (-73.989344 40.741303)",14,"M"
13,40.745494,-73.988691,"POINT (-73.988691 40.745494)",13,"M"
304,40.826551,-73.95036,"POINT (-73.95036 40.826551)",304,"M"
144,40.865491,-73.927271,"POINT (-73.927271 40.865491)",144,"M"
101,40.708359,-73.957757,"POINT (-73.957757 40.708359)",101,"Bk"
463,40.742216,-73.948916,"POINT (-73.948916 40.742216)",463,"Q"
154,40.805085,-73.954882,"POINT (-73.954882 40.805085)",154,"M"
174,40.692338,-73.987342,"POINT (-73.987342 40.692338)",636,"Bk"
33,40.648939,-74.010006,"POINT (-74.010006 40.648939)",33,"Bk"
185,40.674542,-73.896548,"POINT (-73.896548 40.674542)",185,"Bk"
290,40.688873,-73.96007,"POINT (-73.96007 40.688873)",290,"Bk"
46,40.640927,-73.963891,"POINT (-73.963891 40.640927)",46,"Bk"
